75,670
113,440
143,800
109,990
145,940
153,890
187,620
144,250
155,370
185,280
198,670
198,890
189,360
156,230
135,010
176,330
146,030
138,370
122,740
138,880
132,190
133,770
123,840
131,530
121,020
117,540
115,910
118,230
111,480
107,260
106,040
107,540
106,580
104,920
103,770
105,110
103,290
103,840
104,660
106,250
106,270
108,660
110,400
106,830
109,410
114,250
118,080
107,440
117,150
122,370
137,510
113,630
129,300
149,320
154,610
166,870
165,800
148,510
125,340
156,430
117,070
2,190
2,120
124,670
71,030
2,200
2,110
93,570
64,800
26,160
0,000
5,770
-0,030
-1,090
-5,000
-5,300
-8,620
-10,000
-11,060
-10,120
-12,260
-13,960
-16,570
-13,400
-12,670
-11,200
-7,380
-5,450
-3,160
-1,660
-0,160
-1,020
0,000
1,340
45,740
32,670
91,550
116,550
129,780
115,360
131,050
143,430
162,470
133,620
150,550
160,910
166,430
177,870
154,550
135,220
151,100
162,090
150,250
142,520
129,600
138,950
148,520
139,870
131,450
138,700
127,360
122,780
115,570
120,690
120,590
119,790
116,560
116,680
112,300
111,950
111,400
103,720
108,910
107,910
110,220
106,060
105,140
106,720
106,230
102,490
105,580
109,250
120,520
109,580
116,880
122,760
132,230
131,860
140,530
153,860
154,740
158,580
156,780
146,880
128,930
158,750
135,800
118,740
94,900
121,690
100,760
83,290
63,460
83,320
68,010
41,180
10,130
5,040
